added_predicates,comparison_basis,dataset,file,idx,num_added_triples,num_matched_predicates,num_matched_source_triples,num_omitted_triples,num_predicted_predicates,num_source_triples,omitted_predicates,omitted_triples,position,pred,source_input,task,triple_set_id
publisher,webnlg17_input,factual,results/ordering/factual_ordering.json,1443,1,1,1,1,2,2,producer,Nord_(Year_of_No_Light_album) producer Year_of_No_Light,1443,genre publisher,[TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE],ordering,1443
author,webnlg17_input,factual,results/ordering/factual_ordering.json,1447,1,1,1,1,2,2,writer,Super_Capers writer Ray_Griggs_(director),1447,starring author,[TRIPLE] Super_Capers  starring  Justin_Whalin [/TRIPLE] [TRIPLE] Super_Capers  writer  Ray_Griggs_(director) [/TRIPLE],ordering,1447
,webnlg17_input,factual,results/ordering/factual_ordering.json,1450,0,5,5,1,5,6,city,Acharya_Institute_of_Technology city Bangalore,1450,campus established director wasGivenTheTechnicalCampusStatusBy location,"[TRIPLE] Acharya_Institute_of_Technology  campus  ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" [/TRIPLE] [TRIPLE] All_India_Council_for_Technical_Education  location  Mumbai [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  director  ""Dr. G. P. Prabhukumar"" [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  city  Bangalore [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  established  2000 [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  wasGivenTheTechnicalCampusStatusBy  All_India_Council_for_Technical_Education [/TRIPLE]",ordering,1450
,webnlg17_input,factual,results/ordering/factual_ordering.json,1451,0,5,5,1,5,6,cinematography,It's_Great_to_Be_Young_(1956_film) cinematography Gilbert_Taylor,1451,director starring starring runtime gross,[TRIPLE] It's_Great_to_Be_Young_(1956_film)  starring  John_Mills [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  cinematography  Gilbert_Taylor [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  runtime  94.0 [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  gross  282838.0 [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  director  Cyril_Frankel [/TRIPLE] [TRIPLE] It's_Great_to_Be_Young_(1956_film)  starring  Cecil_Parker [/TRIPLE],ordering,1451
genre | production | time,webnlg17_input,factual,results/ordering/factual_ordering.json,1455,3,2,2,4,5,6,producer | runtime | artist | type,Expect_a_Miracle producer Brian_Kelly_(composer_&_pianist) || Expect_a_Miracle runtime 54.56 || Expect_a_Miracle artist Brian_Kelly_(composer_&_pianist) || Expect_a_Miracle type Compilation_Album,1455,precededBy followedBy genre production time,[TRIPLE] Expect_a_Miracle  producer  Brian_Kelly_(composer_&_pianist) [/TRIPLE] [TRIPLE] Expect_a_Miracle  runtime  54.56 [/TRIPLE] [TRIPLE] Expect_a_Miracle  artist  Brian_Kelly_(composer_&_pianist) [/TRIPLE] [TRIPLE] Expect_a_Miracle  type  Compilation_Album [/TRIPLE] [TRIPLE] Expect_a_Miracle  precededBy  Pools_of_Light_(Brian_Kelly_album) [/TRIPLE] [TRIPLE] Expect_a_Miracle  followedBy  Afterplay_(Brian_Kelly_album) [/TRIPLE],ordering,1455
,webnlg17_input,factual,results/ordering/factual_ordering.json,1459,0,0,0,1,0,1,cosparId,Shenzhou_10 cosparId 2013-029A,1459,,[TRIPLE] Shenzhou_10  cosparId  2013-029A [/TRIPLE],ordering,1459
mainIngredients,webnlg17_input,factual,results/ordering/factual_ordering.json,1464,1,6,6,1,7,7,mainIngredient,"Bionico mainIngredient ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins""",1464,dishVariation course region country mainIngredients currency demonym,"[TRIPLE] Mexico  currency  Mexican_peso [/TRIPLE] [TRIPLE] Mexico  demonym  Mexicans [/TRIPLE] [TRIPLE] Bionico  course  Dessert [/TRIPLE] [TRIPLE] Bionico  region  Guadalajara [/TRIPLE] [TRIPLE] Bionico  mainIngredient  ""Chopped Fruits, Sour Cream, Condensed Milk, Granola, Shredded Coconut, Raisins"" [/TRIPLE] [TRIPLE] Dessert  dishVariation  Sandesh_(confectionery) [/TRIPLE] [TRIPLE] Bionico  country  Mexico [/TRIPLE]",ordering,1464
occupation,webnlg17_input,factual,results/ordering/factual_ordering.json,1465,1,4,4,1,5,5,professionalField,Olga_Bondareva professionalField Economics,1465,birthName almaMater occupation deathPlace deathDate,"[TRIPLE] Olga_Bondareva  deathPlace  Saint_Petersburg [/TRIPLE] [TRIPLE] Olga_Bondareva  birthName  ""Olga Nikolaevna Bondareva"" [/TRIPLE] [TRIPLE] Olga_Bondareva  almaMater  Leningrad_State_University [/TRIPLE] [TRIPLE] Olga_Bondareva  deathDate  1991-12-09 [/TRIPLE] [TRIPLE] Olga_Bondareva  professionalField  Economics [/TRIPLE]",ordering,1465
crew,webnlg17_input,factual,results/ordering/factual_ordering.json,1470,1,1,1,1,2,2,mission,Buzz_Aldrin mission Apollo_11,1470,nationality crew,[TRIPLE] Buzz_Aldrin  nationality  United_States [/TRIPLE] [TRIPLE] Buzz_Aldrin  mission  Apollo_11 [/TRIPLE],ordering,1470
editor | production,webnlg17_input,factual,results/ordering/factual_ordering.json,1471,2,1,1,2,3,3,editing | producer,English_Without_Tears editing Alan_Jaggs || English_Without_Tears producer Anatole_de_Grunwald,1471,editor production cinematography,[TRIPLE] English_Without_Tears  editing  Alan_Jaggs [/TRIPLE] [TRIPLE] English_Without_Tears  producer  Anatole_de_Grunwald [/TRIPLE] [TRIPLE] English_Without_Tears  cinematography  Bernard_Knowles [/TRIPLE],ordering,1471
professionField,webnlg17_input,factual,results/ordering/factual_ordering.json,1474,1,1,1,1,2,2,professionalField,Darinka_Dentcheva professionalField Mathematical_optimization,1474,influencedBy professionField,[TRIPLE] Darinka_Dentcheva  influencedBy  Andrzej_Piotr_Ruszczyński [/TRIPLE] [TRIPLE] Darinka_Dentcheva  professionalField  Mathematical_optimization [/TRIPLE],ordering,1474
,webnlg17_input,factual,results/ordering/factual_ordering.json,1480,0,4,4,2,4,6,location | city,All_India_Council_for_Technical_Education location Mumbai || Acharya_Institute_of_Technology city Bangalore,1480,campus state wasGivenTheTechnicalCampusStatusBy director,"[TRIPLE] Acharya_Institute_of_Technology  campus  ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" [/TRIPLE] [TRIPLE] All_India_Council_for_Technical_Education  location  Mumbai [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  director  ""Dr. G. P. Prabhukumar"" [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  city  Bangalore [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  wasGivenTheTechnicalCampusStatusBy  All_India_Council_for_Technical_Education [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  state  Karnataka [/TRIPLE]",ordering,1480
professionField,webnlg17_input,factual,results/ordering/factual_ordering.json,1491,1,1,1,1,2,2,professionalField,Darinka_Dentcheva professionalField Mathematical_optimization,1491,professionField knownFor,[TRIPLE] Darinka_Dentcheva  professionalField  Mathematical_optimization [/TRIPLE] [TRIPLE] Darinka_Dentcheva  knownFor  Stochastic_programming [/TRIPLE],ordering,1491
,webnlg17_input,factual,results/ordering/factual_ordering.json,1492,0,6,6,1,6,7,city,Acharya_Institute_of_Technology city Bangalore,1492,campus director wasGivenTheTechnicalCampusStatusBy location founder numberOfPostgraduateStudents,"[TRIPLE] Acharya_Institute_of_Technology  campus  ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" [/TRIPLE] [TRIPLE] All_India_Council_for_Technical_Education  location  Mumbai [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  director  ""Dr. G. P. Prabhukumar"" [/TRIPLE] [TRIPLE] Bangalore  founder  Kempe_Gowda_I [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  city  Bangalore [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  wasGivenTheTechnicalCampusStatusBy  All_India_Council_for_Technical_Education [/TRIPLE] [TRIPLE] Acharya_Institute_of_Technology  numberOfPostgraduateStudents  700 [/TRIPLE]",ordering,1492
,webnlg17_input,factual,results/ordering/factual_ordering.json,1503,0,6,6,1,6,7,numberOfStudents,University_of_Burgundy numberOfStudents 27400,1503,campus country numberOfPostgraduateStudents numberOfUndergraduateStudents numberOfDoctoralStudents staff,[TRIPLE] University_of_Burgundy  numberOfUndergraduateStudents  16800 [/TRIPLE] [TRIPLE] University_of_Burgundy  staff  2900 [/TRIPLE] [TRIPLE] University_of_Burgundy  numberOfStudents  27400 [/TRIPLE] [TRIPLE] University_of_Burgundy  numberOfDoctoralStudents  1299 [/TRIPLE] [TRIPLE] University_of_Burgundy  campus  Dijon [/TRIPLE] [TRIPLE] University_of_Burgundy  numberOfPostgraduateStudents  9400 [/TRIPLE] [TRIPLE] University_of_Burgundy  country  France [/TRIPLE],ordering,1503
,webnlg17_input,factual,results/ordering/factual_ordering.json,1507,0,2,2,1,2,3,artist,Nord_(Year_of_No_Light_album) artist Year_of_No_Light,1507,genre recordLabel,[TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE],ordering,1507
country | capital,webnlg17_input,factual,results/ordering/factual_ordering.json,1514,2,4,4,2,6,6,type | location,Hypermarcas type S.A._(corporation) || Hypermarcas location São_Paulo,1514,location country numberOfEmployees capital netIncome subsidiary,[TRIPLE] Hypermarcas  location  Brazil [/TRIPLE] [TRIPLE] Hypermarcas  type  S.A._(corporation) [/TRIPLE] [TRIPLE] Hypermarcas  subsidiary  Mantecorp [/TRIPLE] [TRIPLE] Hypermarcas  netIncome  108600000 [/TRIPLE] [TRIPLE] Hypermarcas  numberOfEmployees  10252 [/TRIPLE] [TRIPLE] Hypermarcas  location  São_Paulo [/TRIPLE],ordering,1514
,webnlg17_input,factual,results/ordering/factual_ordering.json,1516,0,2,2,1,2,3,training,Liselotte_Grschebina training School_of_Applied_Arts_in_Stuttgart,1516,nationality birthDate,[TRIPLE] Liselotte_Grschebina  birthDate  1908-05-02 [/TRIPLE] [TRIPLE] Liselotte_Grschebina  nationality  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  training  School_of_Applied_Arts_in_Stuttgart [/TRIPLE],ordering,1516
profession,webnlg17_input,factual,results/ordering/factual_ordering.json,1519,1,2,2,1,3,3,professionalField,Brandon_Carter professionalField General_relativity,1519,birthDate doctoralAdvisor profession,[TRIPLE] Brandon_Carter  professionalField  General_relativity [/TRIPLE] [TRIPLE] Brandon_Carter  doctoralAdvisor  Dennis_William_Sciama [/TRIPLE] [TRIPLE] Brandon_Carter  birthDate  1942-01-01 [/TRIPLE],ordering,1519
record | production | time,webnlg17_input,factual,results/ordering/factual_ordering.json,1520,3,1,1,2,4,3,producer | runtime,Expect_a_Miracle producer Brian_Kelly_(composer_&_pianist) || Expect_a_Miracle runtime 54.56,1520,type record production time,[TRIPLE] Expect_a_Miracle  producer  Brian_Kelly_(composer_&_pianist) [/TRIPLE] [TRIPLE] Expect_a_Miracle  runtime  54.56 [/TRIPLE] [TRIPLE] Expect_a_Miracle  type  Compilation_Album [/TRIPLE],ordering,1520
ICAOLocationIdentifier,webnlg17_input,factual,results/ordering/factual_ordering.json,1526,1,4,4,1,5,5,icaoLocationIdentifier,Bedford_Aerodrome icaoLocationIdentifier EGBF,1526,operatingOrganisation elevationAboveTheSeaLevel ICAOLocationIdentifier runwayName runwaySurfaceType,"[TRIPLE] Bedford_Aerodrome  operatingOrganisation  MotorSport_Vision [/TRIPLE] [TRIPLE] Bedford_Aerodrome  icaoLocationIdentifier  EGBF [/TRIPLE] [TRIPLE] Bedford_Aerodrome  elevationAboveTheSeaLevel  83.2104 [/TRIPLE] [TRIPLE] Bedford_Aerodrome  runwayName  ""08/26"" [/TRIPLE] [TRIPLE] Bedford_Aerodrome  runwaySurfaceType  Concrete [/TRIPLE]",ordering,1526
,webnlg17_input,factual,results/ordering/factual_ordering.json,1532,0,2,2,1,2,3,industry,Trane industry Building_materials,1532,operatingIncome revenue,[TRIPLE] Trane  operatingIncome  875400000 [/TRIPLE] [TRIPLE] Trane  industry  Building_materials [/TRIPLE] [TRIPLE] Trane  revenue  10264000000 [/TRIPLE],ordering,1532
editor,webnlg17_input,factual,results/ordering/factual_ordering.json,1537,1,4,4,1,5,5,editing,Super_Capers editing Stacy_Katzman,1537,distributor distributor language editor runtime,[TRIPLE] Super_Capers  editing  Stacy_Katzman [/TRIPLE] [TRIPLE] Super_Capers  language  English_language [/TRIPLE] [TRIPLE] Super_Capers  runtime  98.0 [/TRIPLE] [TRIPLE] Super_Capers  distributor  Roadside_Attractions [/TRIPLE] [TRIPLE] Super_Capers  distributor  Lionsgate [/TRIPLE],ordering,1537
,webnlg17_input,factual,results/ordering/factual_ordering.json,1540,0,3,3,1,3,4,mission,Nie_Haisheng mission Shenzhou_6,1540,birthPlace birthDate mission,[TRIPLE] Nie_Haisheng  mission  Shenzhou_10 [/TRIPLE] [TRIPLE] Nie_Haisheng  mission  Shenzhou_6 [/TRIPLE] [TRIPLE] Nie_Haisheng  birthDate  1964-10-13 [/TRIPLE] [TRIPLE] Nie_Haisheng  birthPlace  Zaoyang [/TRIPLE],ordering,1540
occupation,webnlg17_input,factual,results/ordering/factual_ordering.json,1542,1,4,4,2,5,6,citizenship | professionalField,Darinka_Dentcheva citizenship United_States || Darinka_Dentcheva professionalField Mathematical_optimization,1542,birthDate almaMater influencedBy occupation knownFor,[TRIPLE] Darinka_Dentcheva  influencedBy  Andrzej_Piotr_Ruszczyński [/TRIPLE] [TRIPLE] Darinka_Dentcheva  citizenship  United_States [/TRIPLE] [TRIPLE] Darinka_Dentcheva  birthDate  1958-01-01 [/TRIPLE] [TRIPLE] Darinka_Dentcheva  professionalField  Mathematical_optimization [/TRIPLE] [TRIPLE] Darinka_Dentcheva  knownFor  Stochastic_programming [/TRIPLE] [TRIPLE] Darinka_Dentcheva  almaMater  Humboldt_University [/TRIPLE],ordering,1542
professionknownFor | Carter_constant,webnlg17_input,factual,results/ordering/factual_ordering.json,1544,2,3,3,3,5,6,professionalField | knownFor | knownFor,Brandon_Carter professionalField General_relativity || Brandon_Carter knownFor Carter_constant || Brandon_Carter knownFor No-hair_theorem,1544,birthPlace birthDate doctoralAdvisor professionknownFor Carter_constant,[TRIPLE] Brandon_Carter  professionalField  General_relativity [/TRIPLE] [TRIPLE] Brandon_Carter  knownFor  Carter_constant [/TRIPLE] [TRIPLE] Brandon_Carter  knownFor  No-hair_theorem [/TRIPLE] [TRIPLE] Brandon_Carter  doctoralAdvisor  Dennis_William_Sciama [/TRIPLE] [TRIPLE] Brandon_Carter  birthPlace  England [/TRIPLE] [TRIPLE] Brandon_Carter  birthDate  1942-01-01 [/TRIPLE],ordering,1544
ICAOLocationIdentifier,webnlg17_input,factual,results/ordering/factual_ordering.json,1549,1,2,2,1,3,3,icaoLocationIdentifier,Bedford_Aerodrome icaoLocationIdentifier EGBF,1549,postalCode location ICAOLocationIdentifier,[TRIPLE] Bedford_Aerodrome  location  Thurleigh [/TRIPLE] [TRIPLE] Bedford_Aerodrome  icaoLocationIdentifier  EGBF [/TRIPLE] [TRIPLE] Thurleigh  postalCode  MK44 [/TRIPLE],ordering,1549
,webnlg17_input,factual,results/ordering/factual_ordering.json,1553,0,3,3,1,3,4,producer,Death_on_a_Factory_Farm producer Tom_Simon,1553,broadcastedBy director editor,[TRIPLE] Death_on_a_Factory_Farm  director  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  producer  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  broadcastedBy  HBO [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  editor  Geof_Bartz [/TRIPLE],ordering,1553
,webnlg17_input,factual,results/ordering/factual_ordering.json,1555,0,4,4,2,4,6,producer | artist,Nord_(Year_of_No_Light_album) producer Year_of_No_Light || Nord_(Year_of_No_Light_album) artist Year_of_No_Light,1555,genre followedBy recordLabel releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  recordLabel  Crucial_Blast [/TRIPLE],ordering,1555
,webnlg17_input,factual,results/ordering/factual_ordering.json,1558,0,4,4,1,4,5,producer,Death_on_a_Factory_Farm producer Tom_Simon,1558,broadcastedBy runtime director editor,[TRIPLE] Death_on_a_Factory_Farm  director  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  producer  Tom_Simon [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  broadcastedBy  HBO [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  editor  Geof_Bartz [/TRIPLE] [TRIPLE] Death_on_a_Factory_Farm  runtime  83.0 [/TRIPLE],ordering,1558
,webnlg17_input,factual,results/ordering/factual_ordering.json,1559,0,3,3,2,3,5,training | professionalField,Liselotte_Grschebina training School_of_Applied_Arts_in_Stuttgart || Liselotte_Grschebina professionalField Photographer,1559,nationality birthDate deathDate,[TRIPLE] Liselotte_Grschebina  deathDate  1994-06-14 [/TRIPLE] [TRIPLE] Liselotte_Grschebina  nationality  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  training  School_of_Applied_Arts_in_Stuttgart [/TRIPLE] [TRIPLE] Liselotte_Grschebina  birthDate  1908-05-02 [/TRIPLE] [TRIPLE] Liselotte_Grschebina  professionalField  Photographer [/TRIPLE],ordering,1559
,webnlg17_input,factual,results/ordering/factual_ordering.json,1562,0,4,4,1,4,5,citizenship,Nurhan_Atasoy citizenship Turkey,1562,birthDate birthPlace nationality residence,[TRIPLE] Nurhan_Atasoy  birthDate  1934-01-01 [/TRIPLE] [TRIPLE] Nurhan_Atasoy  residence  Istanbul [/TRIPLE] [TRIPLE] Nurhan_Atasoy  citizenship  Turkey [/TRIPLE] [TRIPLE] Nurhan_Atasoy  birthPlace  Turkey [/TRIPLE] [TRIPLE] Nurhan_Atasoy  nationality  Turkish_people [/TRIPLE],ordering,1562
,webnlg17_input,factual,results/ordering/factual_ordering.json,1564,0,2,2,1,2,3,birthPlace,Lady_Anne_Monson birthPlace Kingdom_of_England,1564,birthPlace birthDate,[TRIPLE] Lady_Anne_Monson  birthPlace  Darlington [/TRIPLE] [TRIPLE] Lady_Anne_Monson  birthDate  1726-01-01 [/TRIPLE] [TRIPLE] Lady_Anne_Monson  birthPlace  Kingdom_of_England [/TRIPLE],ordering,1564
author,webnlg17_input,factual,results/ordering/factual_ordering.json,1565,1,1,1,1,2,2,writer,Mermaid_(Train_song) writer Espen_Lind,1565,recordLabel author,[TRIPLE] Mermaid_(Train_song)  recordLabel  Sony_Music_Entertainment [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Espen_Lind [/TRIPLE],ordering,1565
,webnlg17_input,factual,results/ordering/factual_ordering.json,1572,0,2,2,1,2,3,producer,Nord_(Year_of_No_Light_album) producer Year_of_No_Light,1572,genre followedBy,[TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE],ordering,1572
,webnlg17_input,factual,results/ordering/factual_ordering.json,1573,0,3,3,1,3,4,deathPlace,Liselotte_Grschebina deathPlace Petah_Tikva,1573,birthPlace deathPlace deathDate,[TRIPLE] Liselotte_Grschebina  birthPlace  Karlsruhe [/TRIPLE] [TRIPLE] Liselotte_Grschebina  deathPlace  Israel [/TRIPLE] [TRIPLE] Liselotte_Grschebina  deathDate  1994-06-14 [/TRIPLE] [TRIPLE] Liselotte_Grschebina  deathPlace  Petah_Tikva [/TRIPLE],ordering,1573
,webnlg17_input,factual,results/ordering/factual_ordering.json,1574,0,3,3,1,3,4,genre,Turn_Me_On_(album) genre Noise_rock,1574,genre stylisticOrigin stylisticOrigin,[TRIPLE] Turn_Me_On_(album)  genre  Punk_blues [/TRIPLE] [TRIPLE] Noise_rock  stylisticOrigin  Noise_music [/TRIPLE] [TRIPLE] Turn_Me_On_(album)  genre  Noise_rock [/TRIPLE] [TRIPLE] Punk_blues  stylisticOrigin  Garage_rock [/TRIPLE],ordering,1574
,webnlg17_input,factual,results/ordering/factual_ordering.json,1582,0,3,3,1,3,4,professionalField,Lady_Anne_Monson professionalField Botany,1582,birthPlace spouse deathDate,[TRIPLE] Lady_Anne_Monson  deathDate  1776-02-18 [/TRIPLE] [TRIPLE] Lady_Anne_Monson  birthPlace  Kingdom_of_England [/TRIPLE] [TRIPLE] Lady_Anne_Monson  spouse  George_Monson [/TRIPLE] [TRIPLE] Lady_Anne_Monson  professionalField  Botany [/TRIPLE],ordering,1582
recordIn | recordIn,webnlg17_input,factual,results/ordering/factual_ordering.json,1583,2,2,2,2,4,4,recordedIn | recordedIn,"Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States || Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn St._Louis,_Missouri",1583,precededBy recordIn recordIn runtime,"[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  runtime  230.05 [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  United_States [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordedIn  St._Louis,_Missouri [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  precededBy  Squeeze_(The_Velvet_Underground_album) [/TRIPLE]",ordering,1583
,webnlg17_input,factual,results/ordering/factual_ordering.json,1596,0,2,2,1,2,3,album,Imagine_(John_Lennon_song) album Imagine_(John_Lennon_album),1596,followedBy album,[TRIPLE] Mermaid_(Train_song)  followedBy  Imagine_(John_Lennon_song) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  California_37_(Train_album) [/TRIPLE] [TRIPLE] Imagine_(John_Lennon_song)  album  Imagine_(John_Lennon_album) [/TRIPLE],ordering,1596
,webnlg17_input,factual,results/ordering/factual_ordering.json,1597,0,4,4,1,4,5,city,ENAIRE city Madrid,1597,location country operatingOrganisation elevationAboveTheSeaLevel,[TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  operatingOrganisation  ENAIRE [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  location  Alcobendas [/TRIPLE] [TRIPLE] ENAIRE  city  Madrid [/TRIPLE] [TRIPLE] Adolfo_Suárez_Madrid–Barajas_Airport  elevationAboveTheSeaLevel  610.0 [/TRIPLE] [TRIPLE] Alcobendas  country  Spain [/TRIPLE],ordering,1597
,webnlg17_input,factual,results/ordering/factual_ordering.json,1606,0,4,4,1,4,5,artist,Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground,1606,genre precededBy recordLabel recordLabel,[TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  artist  The_Velvet_Underground [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  genre  Rock_music [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  precededBy  Squeeze_(The_Velvet_Underground_album) [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordLabel  Polydor_Records [/TRIPLE] [TRIPLE] Bootleg_Series_Volume_1:_The_Quine_Tapes  recordLabel  Universal_Music_Group [/TRIPLE],ordering,1606
author | publisher | production_team | record,webnlg17_input,factual,results/ordering/factual_ordering.json,1610,4,0,0,5,4,5,writer | writer | producer | album | format,Mermaid_(Train_song) writer Amund_Bjørklund || Mermaid_(Train_song) writer Stargate_(production_team) || Mermaid_(Train_song) producer Espionage_(production_team) || Mermaid_(Train_song) album California_37_(Train_album) || Mermaid_(Train_song) format Music_download,1610,author publisher production_team record,[TRIPLE] Mermaid_(Train_song)  writer  Amund_Bjørklund [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  writer  Stargate_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  producer  Espionage_(production_team) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  album  California_37_(Train_album) [/TRIPLE] [TRIPLE] Mermaid_(Train_song)  format  Music_download [/TRIPLE],ordering,1610
,webnlg17_input,factual,results/ordering/factual_ordering.json,1612,0,3,3,1,3,4,citizenship,Nurhan_Atasoy citizenship Turkey,1612,birthDate birthPlace nationality,[TRIPLE] Nurhan_Atasoy  birthDate  1934-01-01 [/TRIPLE] [TRIPLE] Nurhan_Atasoy  citizenship  Turkey [/TRIPLE] [TRIPLE] Nurhan_Atasoy  birthPlace  Turkey [/TRIPLE] [TRIPLE] Nurhan_Atasoy  nationality  Turkish_people [/TRIPLE],ordering,1612
creator,webnlg17_input,factual,results/ordering/factual_ordering.json,1613,1,0,0,1,1,1,producer,Squeeze_(The_Velvet_Underground_album) producer The_Velvet_Underground,1613,creator,[TRIPLE] Squeeze_(The_Velvet_Underground_album)  producer  The_Velvet_Underground [/TRIPLE],ordering,1613
crew,webnlg17_input,factual,results/ordering/factual_ordering.json,1616,1,1,1,1,2,2,mission,Buzz_Aldrin mission Apollo_11,1616,almaMater crew,"[TRIPLE] Buzz_Aldrin  mission  Apollo_11 [/TRIPLE] [TRIPLE] Buzz_Aldrin  almaMater  ""Massachusetts Institute of Technology, Sc.D. 1963"" [/TRIPLE]",ordering,1616
,webnlg17_input,factual,results/ordering/factual_ordering.json,1621,0,3,3,3,3,6,producer | artist | genre,Nord_(Year_of_No_Light_album) producer Year_of_No_Light || Nord_(Year_of_No_Light_album) artist Year_of_No_Light || Nord_(Year_of_No_Light_album) genre Post-metal,1621,genre followedBy releaseDate,[TRIPLE] Nord_(Year_of_No_Light_album)  releaseDate  2006-09-06 [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  followedBy  Live_at_Roadburn_2008_(Year_of_No_Light_album) [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Sludge_metal [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  producer  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  artist  Year_of_No_Light [/TRIPLE] [TRIPLE] Nord_(Year_of_No_Light_album)  genre  Post-metal [/TRIPLE],ordering,1621
